省份,运营商,133 号段,153 号段,173 号段,177 号段,180 号段,181 号段,189 号段,190 号段,191 号段,193 号段,199 号段
新疆,电信,1339996,,,1779996,1809906,1813955,,,,1932866,
新疆,电信,1339997,,,1779997,1809907,1813956,,,,1932867,
新疆,电信,1339998,,,,1809908,1813957,,,,1932868,
新疆,电信,1339999,,,,1809909,1813958,,,,1932869,
新疆,电信,,,,,1809910,1813959,,,,1935100,
新疆,电信,,,,,1809911,1813960,,,,1935101,
新疆,电信,,,,,1809912,1813961,,,,1935102,
新疆,电信,,,,,1809913,1813962,,,,1935103,
新疆,电信,,,,,1809914,1813963,,,,1935104,
新疆,电信,,,,,1809915,1813964,,,,1935105,
新疆,电信,,,,,1809916,1813965,,,,1935106,
新疆,电信,,,,,1809917,1813966,,,,1935107,
新疆,电信,,,,,1809918,1813967,,,,1935108,
新疆,电信,,,,,1809919,1813968,,,,1935109,
新疆,电信,,,,,1809920,1813969,,,,1935110,
新疆,电信,,,,,1809921,1814070,,,,1935111,
新疆,电信,,,,,1809922,1814071,,,,1935112,
新疆,电信,,,,,1809923,1814072,,,,1935113,
新疆,电信,,,,,1809924,1814073,,,,1935114,
新疆,电信,,,,,1809925,1814074,,,,1935115,
新疆,电信,,,,,1809926,1814075,,,,1935116,
新疆,电信,,,,,1809927,1814076,,,,1935117,
新疆,电信,,,,,1809928,1814077,,,,1935118,
新疆,电信,,,,,1809929,1814078,,,,1935119,
新疆,电信,,,,,1809930,1814079,,,,1935120,
新疆,电信,,,,,1809931,1814080,,,,1935121,
新疆,电信,,,,,1809932,1814081,,,,1935122,
新疆,电信,,,,,1809933,1814082,,,,1935123,
新疆,电信,,,,,1809934,1814083,,,,1935124,
新疆,电信,,,,,1809935,1814084,,,,1935125,
新疆,电信,,,,,1809936,1814085,,,,1935126,
新疆,电信,,,,,1809937,1814086,,,,1935127,
新疆,电信,,,,,1809938,1814087,,,,1935128,
新疆,电信,,,,,1809939,1814088,,,,1935129,
新疆,电信,,,,,1809940,1814089,,,,1935130,
新疆,电信,,,,,1809941,1814090,,,,1935131,
新疆,电信,,,,,1809942,1814091,,,,1935132,
新疆,电信,,,,,1809943,1814092,,,,1935133,
新疆,电信,,,,,1809944,1814093,,,,1935134,
新疆,电信,,,,,1809945,1814094,,,,1935135,
新疆,电信,,,,,1809946,1814095,,,,1935136,
新疆,电信,,,,,1809947,1814096,,,,1935137,
新疆,电信,,,,,1809948,1814097,,,,1935138,
新疆,电信,,,,,1809949,1814098,,,,1935139,
新疆,电信,,,,,1809950,1814099,,,,1935440,
新疆,电信,,,,,1809951,1814640,,,,1935441,
新疆,电信,,,,,1809952,1814641,,,,1935442,
新疆,电信,,,,,1809953,1814642,,,,1935443,
新疆,电信,,,,,1809954,1814643,,,,1935444,
新疆,电信,,,,,1809955,1814644,,,,1935445,
新疆,电信,,,,,1809956,1814645,,,,1935446,
新疆,电信,,,,,1809957,1814646,,,,1935447,
新疆,电信,,,,,1809958,1814647,,,,1935448,
新疆,电信,,,,,1809959,1814648,,,,1935449,
新疆,电信,,,,,1809960,1814649,,,,1935450,
新疆,电信,,,,,1809961,1814690,,,,1935451,
新疆,电信,,,,,1809962,1814691,,,,1935452,
新疆,电信,,,,,1809963,1814692,,,,1935453,
新疆,电信,,,,,1809964,1814693,,,,1935454,
新疆,电信,,,,,1809965,1814694,,,,1935455,
新疆,电信,,,,,1809966,1814695,,,,1935456,
