省份,运营商,130 号段,131 号段,132 号段,145 号段,155 号段,156 号段,166 号段,167 号段,171 号段,175 号段,176 号段,185号段,186 号段,196 号段
重庆,联通,,,,,,,,,,,,1859869,,
重庆,联通,,,,,,,,,,,,1859870,,
重庆,联通,,,,,,,,,,,,1859871,,
重庆,联通,,,,,,,,,,,,1859872,,
重庆,联通,,,,,,,,,,,,1859873,,
重庆,联通,,,,,,,,,,,,1859874,,
重庆,联通,,,,,,,,,,,,1859875,,
重庆,联通,,,,,,,,,,,,1859876,,
重庆,联通,,,,,,,,,,,,1859877,,
重庆,联通,,,,,,,,,,,,1859878,,
重庆,联通,,,,,,,,,,,,1859879,,
